ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742125::Definition,1073742126::Name,1075848978::Type  [read only],1075849017::Attribute,1075849056::Physical Data Type,1075849060::Percent Null,1075849062::Null Option,1075849102::View Column Expression,1075849115::Empty Is Null,1075849117::Read Only,1075849121::Data Sources  [read only],1075849122::DS Comment,1075849125::Row GUID,1075849131::Physical Order  [read only],1075849136::Parent Attribute  [read only],1075849137::Parent Relationship  [read only],1075849148::Comments,1075849172::Physical Only,1075849173::Logical Only,1075849176::Physical Name,1075849201::Logical Data Type,1075849452::Domain Parent,1075849722::Is Not For Replication,1075849731::Font Color,1075849769::Generated Identity,1075849842::Color Is Inherited,1075849843::Font Inherited,1075849998::Font Size,1075849999::Font Bold,1075850000::Font Italic,1075850008::Update Attribute Definition to Match,1075850017::Starting Value,1075850018::Increment By,1075850085::Attribute Order  [read only],1075850088::Column Order  [read only],1075850089::Theme,1075850186::Expression,1075850193::Dependent Objects  [read only],1075850237::Logical Lead Attribute  [read only],1075850245::Physical Lead Attribute  [read only],1075850297::Font Charset,1075850516::User Formatted Name  [read only],1075850521::Check Constraint Inheritance Prohibited,1075850522::Default Constraint Inheritance Prohibited,1075850564::Collation,1075850637::Populate All Rows With Default Value,1075850700::Persisted,1075850734::XML Document Type,1075850736::XML Schema Collection,1075850744::Sparse,1075851000::Is Filestream,1075851001::Is Sparse Column Set,1075851147::Font,1075851148::Font Name,1075851149::Font Strikethrough,1075851150::Font Underscore,1075851212::Average Width,1075851250::Is Encrypted,1075851720::Image,1075852278::Extended Notes Order  [read only],1075852305::Column Mask Function,1075852321::Column Encryption Key,1075852322::Encryption Type,1075852340::Hidden,1075852464::Password,1075852560::PII,1075853568::Column Class,1075853916::Attribute Data Vault Complaincy,1092616196::Attribute.Physical.Description
"1075838981::836","PostalPostalCode",Column,"","PostalPostalCode","Non Primary Key","","nvarchar(10)","","Not Null","","","","","","","28","","","","","","PostalPostalCode","NVARCHAR(10)","String","","8470830","","","","10","false","false","","","","28","28","","","Customers_Archive","","","Western","PostalPostalCode","","","Latin1_General_100_CI_AS","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","10","","Default String Icon","","","","","false","","","","",""
"1075838981::837","LastEditedBy",Column,"","LastEditedBy","Non Primary Key","","int","","Not Null","","","","","","","29","","","","","","LastEditedBy","INTEGER","Number","","8470830","","","","10","false","false","","","","29","29","","","Customers_Archive","","","Western","LastEditedBy","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","","false","","","","",""
"1075838981::838","ValidFrom",Column,"","ValidFrom","Non Primary Key","","datetime2(7)","","Not Null","","","","","","","30","","","","","","ValidFrom","DATE","Datetime","","0","","","","10","false","false","","","","30","30","","","Customers_Archive,ValidFrom","","","Western","ValidFrom","","","","","","","","","","","Microsoft Sans Serif 10 Western","Microsoft Sans Serif","false","false","","","Default Datetime Icon","","","","","false","","","","",""
"1075838981::839","ValidTo",Column,"","ValidTo","Non Primary Key","","datetime2(7)","","Not Null","","","","","","","31","","","","","","ValidTo","DATE","Datetime","","0","","","","10","false","false","","","","31","31","","","Customers_Archive,ValidTo","","","Western","ValidTo","","","","","","","","","","","Microsoft Sans Serif 10 Western","Microsoft Sans Serif","false","false","","","Default Datetime Icon","","","","","false","","","","",""
"1075838981::845","CustomerTransactionID",Column,"","CustomerTransactionID","Primary Key","","int","","Not Null","","","","","","","1","","","","","","CustomerTransactionID","INTEGER","Number","","8470830","","","","10","false","false","","","","1","1","","","CustomerTransactions,CustomerTransactionID","","","Western","CustomerTransactionID","","true","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","","false","","","","","Numeric ID used to refer to a customer transaction within the database"
"1075838981::846","CustomerID",Column,"","CustomerID","Non Primary Key","","int","","Not Null","","","","","","","2","CustomerID","FK_Sales_CustomerTransactions_CustomerID_Sales_Customers (Customers to CustomerTransactions)","","","","CustomerID","INTEGER","Number","","12470272","","","","10","false","false","","","","2","2","","","CustomerTransactions,CustomerID,CustomerID","","","Western","CustomerID","","","","","","","","","","","Microsoft Sans Serif 10 Red:0 Green: 72 Blue: 190 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","","false","","","","","Customer for this transaction"
"1075838981::847","TransactionTypeID",Column,"","TransactionTypeID","Non Primary Key","","int","","Not Null","","","","","","","3","TransactionTypeID","FK_Sales_CustomerTransactions_TransactionTypeID_Application_TransactionTypes (TransactionTypes to CustomerTransactions)","","","","TransactionTypeID","INTEGER","Number","","12470272","","","","10","false","false","","","","3","3","","","CustomerTransactions,TransactionTypeID,TransactionTypeID","","","Western","TransactionTypeID","","","","","","","","","","","Microsoft Sans Serif 10 Red:0 Green: 72 Blue: 190 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","","false","","","","","Type of transaction"
"1075838981::848","InvoiceID",Column,"","InvoiceID","Non Primary Key","","int","28","Null","","","","","","","4","InvoiceID","FK_Sales_CustomerTransactions_InvoiceID_Sales_Invoices (Invoices to CustomerTransactions)","","","","InvoiceID","INTEGER","Number","","12470272","","","","10","false","false","","","","4","4","","","CustomerTransactions,InvoiceID,InvoiceID","","","Western","InvoiceID","","","","","","","","","","","Microsoft Sans Serif 10 Red:0 Green: 72 Blue: 190 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","","false","","","","","ID of an invoice (for transactions associated with an invoice)"
"1075838981::849","PaymentMethodID",Column,"","PaymentMethodID","Non Primary Key","","int","73","Null","","","","","","","5","PaymentMethodID","FK_Sales_CustomerTransactions_PaymentMethodID_Application_PaymentMethods (PaymentMethods to CustomerTransactions)","","","","PaymentMethodID","INTEGER","Number","","12470272","","","","10","false","false","","","","5","5","","","CustomerTransactions,PaymentMethodID,PaymentMethodID","","","Western","PaymentMethodID","","","","","","","","","","","Microsoft Sans Serif 10 Red:0 Green: 72 Blue: 190 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","","false","","","","","ID of a payment method (for transactions involving payments)"
"1075838981::850","TransactionDate",Column,"","TransactionDate","Non Primary Key","","date","","Not Null","","","","","","","6","","","","","","TransactionDate","INTERVAL","Datetime","","0","","","","10","false","false","","","","6","6","","","CustomerTransactions,TransactionDate,TransactionDate,TransactionDate,TransactionDate,TransactionDate,TransactionDate,TransactionDate,TransactionDate,TransactionDate,TransactionDate,TransactionDate,TransactionDate,TransactionDate","","","Western","TransactionDate","","","","","","","","","","","Microsoft Sans Serif 10 Western","Microsoft Sans Serif","false","false","","","Default Datetime Icon","","","","","false","","","","","Date for the transaction"
"1075838981::851","AmountExcludingTax",Column,"","AmountExcludingTax","Non Primary Key","","decimal(18,2)","","Not Null","","","","","","","7","","","","","","AmountExcludingTax","DECIMAL(18,2)","Number","","8470830","","","","10","false","false","","","","7","7","","","CustomerTransactions","","","Western","AmountExcludingTax","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","5","","Default Number Icon","","","","","false","","","","","Transaction amount (excluding tax)"
"1075838981::852","TaxAmount",Column,"","TaxAmount","Non Primary Key","","decimal(18,2)","","Not Null","","","","","","","8","","","","","","TaxAmount","DECIMAL(18,2)","Number","","8470830","","","","10","false","false","","","","8","8","","","CustomerTransactions","","","Western","TaxAmount","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","5","","Default Number Icon","","","","","false","","","","","Tax amount calculated"
"1075838981::853","TransactionAmount",Column,"","TransactionAmount","Non Primary Key","","decimal(18,2)","","Not Null","","","","","","","9","","","","","","TransactionAmount","DECIMAL(18,2)","Number","","8470830","","","","10","false","false","","","","9","9","","","CustomerTransactions","","","Western","TransactionAmount","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","5","","Default Number Icon","","","","","false","","","","","Transaction amount (including tax)"
"1075838981::854","OutstandingBalance",Column,"","OutstandingBalance","Non Primary Key","","decimal(18,2)","","Not Null","","","","","","","10","","","","","","OutstandingBalance","DECIMAL(18,2)","Number","","8470830","","","","10","false","false","","","","10","10","","","CustomerTransactions","","","Western","OutstandingBalance","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","5","","Default Number Icon","","","","","false","","","","","Amount still outstanding for this transaction"
"1075838981::855","FinalizationDate",Column,"","FinalizationDate","Non Primary Key","","date","1","Null","","","","","","","11","","","","","","FinalizationDate","INTERVAL","Datetime","","8470830","","","","10","false","false","","","","11","11","","","CustomerTransactions","","","Western","FinalizationDate","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Datetime Icon","","","","","false","","","","","Date that this transaction was finalized (if it has been)"
"1075838981::856","IsFinalized",Column,"","IsFinalized","Non Primary Key","","CHAR(18)","0","Null","","","","","","","12","","","","","","IsFinalized","CHAR(18)","String","","0","","","","10","false","false","","","","12","12","","(case when [FinalizationDate] IS NULL then CONVERT([bit],(0)) else CONVERT([bit],(1)) end)","CustomerTransactions,IsFinalized","","","Western","IsFinalized","","","","","true","","","","","","Microsoft Sans Serif 10 Western","Microsoft Sans Serif","false","false","","","Default String Icon","","","","","false","","","","","Is this transaction finalized (invoices, credits and payments have been matched)"
"1075838981::857","LastEditedBy",Column,"","LastEditedBy","Non Primary Key","","int","","Not Null","","","","","","","13","PersonID","FK_Sales_CustomerTransactions_Application_People (People to CustomerTransactions)","","","","LastEditedBy","INTEGER","Number","","12470272","","","","10","false","false","","","","13","13","","","CustomerTransactions,LastEditedBy","","","Western","LastEditedBy","","","","","","","","","","","Microsoft Sans Serif 10 Red:0 Green: 72 Blue: 190 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","","false","","","","","Numeric ID used for reference to a person within the database"
"1075838981::858","LastEditedWhen",Column,"","LastEditedWhen","Non Primary Key","","datetime2(7)","","Not Null","","","","","","","14","","","","","","LastEditedWhen","DATE","Datetime","","8470830","","","","10","false","false","","","","14","14","","","CustomerTransactions","","","Western","LastEditedWhen","","true","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Datetime Icon","","","","","false","","","","",""
"1075838981::924","DeliveryMethodID",Column,"","DeliveryMethodID","Primary Key","","int","","Not Null","","","","","","","1","","","","","","DeliveryMethodID","INTEGER","Number","","8470830","","","","10","false","false","","","","1","1","","","DeliveryMethods,DeliveryMethodID,DeliveryMethodID,DeliveryMethodID,DeliveryMethodID,DeliveryMethodID","","","Western","DeliveryMethodID","","true","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","","false","","","","","Numeric ID used for reference to a delivery method within the database"
"1075838981::925","DeliveryMethodName",Column,"","DeliveryMethodName","Non Primary Key","","nvarchar(50)","","Not Null","","","","","","","2","","","","","","DeliveryMethodName","NVARCHAR(50)","String","","0","","","","10","false","false","","","","2","2","","","DeliveryMethods,DeliveryMethodName,DeliveryMethod,DeliveryMethod","","","Western","DeliveryMethodName","","","Latin1_General_100_CI_AS","","","","","","","","Microsoft Sans Serif 10 Western","Microsoft Sans Serif","false","false","29","","Default String Icon","","","","","false","","","","","Full name of methods that can be used for delivery of customer orders"
"1075838981::926","LastEditedBy",Column,"","LastEditedBy","Non Primary Key","","int","","Not Null","","","","","","","3","PersonID","FK_Application_DeliveryMethods_Application_People (People to DeliveryMethods)","","","","LastEditedBy","INTEGER","Number","","12470272","","","","10","false","false","","","","3","3","","","DeliveryMethods,LastEditedBy","","","Western","LastEditedBy","","","","","","","","","","","Microsoft Sans Serif 10 Red:0 Green: 72 Blue: 190 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","","false","","","","","Numeric ID used for reference to a person within the database"
"1075838981::927","ValidFrom",Column,"","ValidFrom","Non Primary Key","","datetime2(7)","","Not Null","","","","","","","4","","","","","","ValidFrom","DATE","Datetime","","8470830","","","","10","false","false","","","","4","4","","","DeliveryMethods","","","Western","ValidFrom","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Datetime Icon","","","","","false","","","","",""
"1075838981::928","ValidTo",Column,"","ValidTo","Non Primary Key","","datetime2(7)","","Not Null","","","","","","","5","","","","","","ValidTo","DATE","Datetime","","8470830","","","","10","false","false","","","","5","5","","","DeliveryMethods","","","Western","ValidTo","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Datetime Icon","","","","","false","","","","",""
"1075838981::937","DeliveryMethodID",Column,"","DeliveryMethodID","Non Primary Key","","int","","Not Null","","","","","","","1","","","","","","DeliveryMethodID","INTEGER","Number","","8470830","","","","10","false","false","","","","1","1","","","DeliveryMethods_Archive","","","Western","DeliveryMethodID","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","","false","","","","",""
"1075838981::938","DeliveryMethodName",Column,"","DeliveryMethodName","Non Primary Key","","nvarchar(50)","","Not Null","","","","","","","2","","","","","","DeliveryMethodName","NVARCHAR(50)","String","","8470830","","","","10","false","false","","","","2","2","","","DeliveryMethods_Archive","","","Western","DeliveryMethodName","","","Latin1_General_100_CI_AS","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","32","","Default String Icon","","","","","false","","","","",""
"1075838981::939","LastEditedBy",Column,"","LastEditedBy","Non Primary Key","","int","","Not Null","","","","","","","3","","","","","","LastEditedBy","INTEGER","Number","","8470830","","","","10","false","false","","","","3","3","","","DeliveryMethods_Archive","","","Western","LastEditedBy","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","","false","","","","",""
"1075838981::940","ValidFrom",Column,"","ValidFrom","Non Primary Key","","datetime2(7)","","Not Null","","","","","","","4","","","","","","ValidFrom","DATE","Datetime","","0","","","","10","false","false","","","","4","4","","","DeliveryMethods_Archive,ValidFrom","","","Western","ValidFrom","","","","","","","","","","","Microsoft Sans Serif 10 Western","Microsoft Sans Serif","false","false","","","Default Datetime Icon","","","","","false","","","","",""
"1075838981::941","ValidTo",Column,"","ValidTo","Non Primary Key","","datetime2(7)","","Not Null","","","","","","","5","","","","","","ValidTo","DATE","Datetime","","0","","","","10","false","false","","","","5","5","","","DeliveryMethods_Archive,ValidTo","","","Western","ValidTo","","","","","","","","","","","Microsoft Sans Serif 10 Western","Microsoft Sans Serif","false","false","","","Default Datetime Icon","","","","","false","","","","",""
"1075838981::947","InvoiceLineID",Column,"","InvoiceLineID","Primary Key","","int","","Not Null","","","","","","","1","","","","","","InvoiceLineID","INTEGER","Number","","8470830","","","","10","false","false","","","","1","1","","","InvoiceLines,InvoiceLineID","","","Western","InvoiceLineID","","true","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","","false","","","","","Numeric ID used for reference to a line on an invoice within the database"
"1075838981::948","InvoiceID",Column,"","InvoiceID","Non Primary Key","","int","","Not Null","","","","","","","2","InvoiceID","FK_Sales_InvoiceLines_InvoiceID_Sales_Invoices (Invoices to InvoiceLines)","","","","InvoiceID","INTEGER","Number","","12470272","","","","10","false","false","","","","2","2","","","InvoiceLines,InvoiceID,InvoiceID","","","Western","InvoiceID","","","","","","","","","","","Microsoft Sans Serif 10 Red:0 Green: 72 Blue: 190 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","","false","","","","","Invoice that this line is associated with"
"1075838981::949","StockItemID",Column,"","StockItemID","Non Primary Key","","int","","Not Null","","","","","","","3","StockItemID","FK_Sales_InvoiceLines_StockItemID_Warehouse_StockItems (StockItems to InvoiceLines)","","","","StockItemID","INTEGER","Number","","12470272","","","","10","false","false","","","","3","3","","","InvoiceLines,StockItemID,StockItemID","","","Western","StockItemID","","","","","","","","","","","Microsoft Sans Serif 10 Red:0 Green: 72 Blue: 190 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","","false","","","","","Stock item for this invoice line"
"1075838981::950","Description",Column,"","Description","Non Primary Key","","nvarchar(100)","","Not Null","","","","","","","4","","","","","","Description","NVARCHAR(100)","String","","8470830","","","","10","false","false","","","","4","4","","","InvoiceLines","","","Western","Description","","","Latin1_General_100_CI_AS","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","83","","Default String Icon","","","","","false","","","","","Description of the item supplied (Usually the stock item name but can be overridden)"
"1075838981::951","PackageTypeID",Column,"","PackageTypeID","Non Primary Key","","int","","Not Null","","","","","","","5","PackageTypeID","FK_Sales_InvoiceLines_PackageTypeID_Warehouse_PackageTypes (PackageTypes to InvoiceLines)","","","","PackageTypeID","INTEGER","Number","","12470272","","","","10","false","false","","","","5","5","","","InvoiceLines,PackageTypeID","","","Western","PackageTypeID","","","","","","","","","","","Microsoft Sans Serif 10 Red:0 Green: 72 Blue: 190 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","","false","","","","","Type of package supplied"
"1075838981::952","Quantity",Column,"","Quantity","Non Primary Key","","int","","Not Null","","","","","","","6","","","","","","Quantity","INTEGER","Number","","8470830","","","","10","false","false","","","","6","6","","","InvoiceLines,Quantity","","","Western","Quantity","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","","false","","","","","Quantity supplied"
"1075838981::953","UnitPrice",Column,"","UnitPrice","Non Primary Key","","decimal(18,2)","0","Null","","","","","","","7","","","","","","UnitPrice","DECIMAL(18,2)","Number","","8470830","","","","10","false","false","","","","7","7","","","InvoiceLines,UnitPrice","","","Western","UnitPrice","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","5","","Default Number Icon","","","","","false","","","","","Unit price charged"
"1075838981::954","TaxRate",Column,"","TaxRate","Non Primary Key","","decimal(18,3)","","Not Null","","","","","","","8","","","","","","TaxRate","DECIMAL(18,3)","Number","","8470830","","","","10","false","false","","","","8","8","","","InvoiceLines","","","Western","TaxRate","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","5","","Default Number Icon","","","","","false","","","","","Tax rate to be applied"
"1075838981::955","TaxAmount",Column,"","TaxAmount","Non Primary Key","","decimal(18,2)","","Not Null","","","","","","","9","","","","","","TaxAmount","DECIMAL(18,2)","Number","","8470830","","","","10","false","false","","","","9","9","","","InvoiceLines","","","Western","TaxAmount","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","5","","Default Number Icon","","","","","false","","","","","Tax amount calculated"
"1075838981::956","LineProfit",Column,"","LineProfit","Non Primary Key","","decimal(18,2)","","Not Null","","","","","","","10","","","","","","LineProfit","DECIMAL(18,2)","Number","","8470830","","","","10","false","false","","","","10","10","","","InvoiceLines,LineProfit","","","Western","LineProfit","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","5","","Default Number Icon","","","","","false","","","","","Profit made on this line item at current cost price"
"1075838981::957","ExtendedPrice",Column,"","ExtendedPrice","Non Primary Key","","decimal(18,2)","","Not Null","","","","","","","11","","","","","","ExtendedPrice","DECIMAL(18,2)","Number","","8470830","","","","10","false","false","","","","11","11","","","InvoiceLines","","","Western","ExtendedPrice","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","5","","Default Number Icon","","","","","false","","","","","Extended line price charged"
"1075838981::958","LastEditedBy",Column,"","LastEditedBy","Non Primary Key","","int","","Not Null","","","","","","","12","PersonID","FK_Sales_InvoiceLines_Application_People (People to InvoiceLines)","","","","LastEditedBy","INTEGER","Number","","12470272","","","","10","false","false","","","","12","12","","","InvoiceLines,LastEditedBy","","","Western","LastEditedBy","","","","","","","","","","","Microsoft Sans Serif 10 Red:0 Green: 72 Blue: 190 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","","false","","","","","Numeric ID used for reference to a person within the database"
"1075838981::959","LastEditedWhen",Column,"","LastEditedWhen","Non Primary Key","","datetime2(7)","","Not Null","","","","","","","13","","","","","","LastEditedWhen","DATE","Datetime","","8470830","","","","10","false","false","","","","13","13","","","InvoiceLines,LastEditedWhen","","","Western","LastEditedWhen","","true","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Datetime Icon","","","","","false","","","","",""
"1075838981::984","InvoiceID",Column,"","InvoiceID","Primary Key","","int","","Not Null","","","","","","","1","","","","","","InvoiceID","INTEGER","Number","","8470830","","","","10","false","false","","","","1","1","","","Invoices,InvoiceID,InvoiceID,InvoiceID,InvoiceID","","","Western","InvoiceID","","true","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","","false","","","","","Numeric ID used for reference to an invoice within the database"
"1075838981::985","CustomerID",Column,"","CustomerID","Non Primary Key","","int","","Not Null","","","","","","","2","CustomerID","FK_Sales_Invoices_CustomerID_Sales_Customers (Customers to Invoices)","","","","CustomerID","INTEGER","Number","","12470272","","","","10","false","false","","","","2","2","","","Invoices,CustomerID","","","Western","CustomerID","","","","","","","","","","","Microsoft Sans Serif 10 Red:0 Green: 72 Blue: 190 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","","false","","","","","Customer for this invoice"
"1075838981::986","BillToCustomerID",Column,"","BillToCustomerID","Non Primary Key","","int","","Not Null","","","","","","","3","CustomerID","FK_Sales_Invoices_BillToCustomerID_Sales_Customers (Customers to Invoices)","","","","BillToCustomerID","INTEGER","Number","","12470272","","","","10","false","false","","","","3","3","","","Invoices,BillToCustomerID","","","Western","BillToCustomerID","","","","","","","","","","","Microsoft Sans Serif 10 Red:0 Green: 72 Blue: 190 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","","false","","","","","Bill to customer for this invoice (invoices might be billed to a head office)"
"1075838981::987","OrderID",Column,"","OrderID","Non Primary Key","","int","0","Null","","","","","","","4","OrderID","FK_Sales_Invoices_OrderID_Sales_Orders (Orders to Invoices)","","","","OrderID","INTEGER","Number","","12470272","","","","10","false","false","","","","4","4","","","Invoices,OrderID","","","Western","OrderID","","","","","","","","","","","Microsoft Sans Serif 10 Red:0 Green: 72 Blue: 190 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","","false","","","","","Sales order (if any) for this invoice"
"1075838981::988","DeliveryMethodID",Column,"","DeliveryMethodID","Non Primary Key","","int","","Not Null","","","","","","","5","DeliveryMethodID","FK_Sales_Invoices_DeliveryMethodID_Application_DeliveryMethods (DeliveryMethods to Invoices)","","","","DeliveryMethodID","INTEGER","Number","","12470272","","","","10","false","false","","","","5","5","","","Invoices,DeliveryMethodID","","","Western","DeliveryMethodID","","","","","","","","","","","Microsoft Sans Serif 10 Red:0 Green: 72 Blue: 190 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","","false","","","","","How these stock items are beign delivered"
"1075838981::989","ContactPersonID",Column,"","ContactPersonID","Non Primary Key","","int","","Not Null","","","","","","","6","PersonID","FK_Sales_Invoices_ContactPersonID_Application_People (People to Invoices)","","","","ContactPersonID","INTEGER","Number","","12470272","","","","10","false","false","","","","6","6","","","Invoices,ContactPersonID","","","Western","ContactPersonID","","","","","","","","","","","Microsoft Sans Serif 10 Red:0 Green: 72 Blue: 190 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","","false","","","","","Customer contact for this invoice"
"1075838981::990","AccountsPersonID",Column,"","AccountsPersonID","Non Primary Key","","int","","Not Null","","","","","","","7","PersonID","FK_Sales_Invoices_AccountsPersonID_Application_People (People to Invoices)","","","","AccountsPersonID","INTEGER","Number","","12470272","","","","10","false","false","","","","7","7","","","Invoices,AccountsPersonID","","","Western","AccountsPersonID","","","","","","","","","","","Microsoft Sans Serif 10 Red:0 Green: 72 Blue: 190 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","","false","","","","","Customer accounts contact for this invoice"
"1075838981::991","SalespersonPersonID",Column,"","SalespersonPersonID","Non Primary Key","","int","","Not Null","","","","","","","8","PersonID","FK_Sales_Invoices_SalespersonPersonID_Application_People (People to Invoices)","","","","SalespersonPersonID","INTEGER","Number","","12470272","","","","10","false","false","","","","8","8","","","Invoices,SalespersonPersonID","","","Western","SalespersonPersonID","","","","","","","","","","","Microsoft Sans Serif 10 Red:0 Green: 72 Blue: 190 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","","false","","","","","Salesperson for this invoice"
"1075838981::992","PackedByPersonID",Column,"","PackedByPersonID","Non Primary Key","","int","","Not Null","","","","","","","9","PersonID","FK_Sales_Invoices_PackedByPersonID_Application_People (People to Invoices)","","","","PackedByPersonID","INTEGER","Number","","12470272","","","","10","false","false","","","","9","9","","","Invoices,PackedByPersonID","","","Western","PackedByPersonID","","","","","","","","","","","Microsoft Sans Serif 10 Red:0 Green: 72 Blue: 190 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","","false","","","","","Person who packed this shipment (or checked the packing)"
"1075838981::993","InvoiceDate",Column,"","InvoiceDate","Non Primary Key","","date","","Not Null","","","","","","","10","","","","","","InvoiceDate","INTERVAL","Datetime","","8470830","","","","10","false","false","","","","10","10","","","Invoices","","","Western","InvoiceDate","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Datetime Icon","","","","","false","","","","","Date that this invoice was raised"
"1075838981::994","CustomerPurchaseOrderNumber",Column,"","CustomerPurchaseOrderNumber","Non Primary Key","","nvarchar(20)","0","Null","","","","","","","11","","","","","","CustomerPurchaseOrderNumber","NVARCHAR(20)","String","","8470830","","","","10","false","false","","","","11","11","","","Invoices","","","Western","CustomerPurchaseOrderNumber","","","Latin1_General_100_CI_AS","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","10","","Default String Icon","","","","","false","","","","","Purchase Order Number received from customer"
"1075838981::995","IsCreditNote",Column,"","IsCreditNote","Non Primary Key","","bit","","Not Null","","","","","","","12","","","","","","IsCreditNote","SMALLINT","Number","","8470830","","","","10","false","false","","","","12","12","","","Invoices","","","Western","IsCreditNote","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","","false","","","","","Is this a credit note (rather than an invoice)"
"1075838981::996","CreditNoteReason",Column,"","CreditNoteReason","Non Primary Key","","nvarchar(max)","100","Null","","","","","","","13","","","","","","CreditNoteReason","NVARCHAR","String","","8470830","","","","10","false","false","","","","13","13","","","Invoices","","","Western","CreditNoteReason","","","Latin1_General_100_CI_AS","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default String Icon","","","","","false","","","","","Reason that this credit note needed to be generated (if applicable)"
