ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742125::Definition,1073742126::Name,1075849148::Comments,1075849176::Physical Name,1075850193::Dependent Objects  [read only],1075850516::User Formatted Name  [read only],1075852278::Extended Notes Order  [read only],1075848978::Type  [read only],1075849017::Attribute,1075849056::Physical Data Type,1075849060::Percent Null,1075849062::Null Option,1075849102::View Column Expression,1075849115::Empty Is Null,1075849117::Read Only,1075849121::Data Sources  [read only],1075849122::DS Comment,1075849125::Row GUID,1075849131::Physical Order  [read only],1075849136::Parent Attribute  [read only],1075849137::Parent Relationship  [read only],1075849172::Physical Only,1075849173::Logical Only,1075849201::Logical Data Type,1075849452::Domain Parent,1075849722::Is Not For Replication,1075849731::Font Color,1075849769::Generated Identity,1075849842::Color Is Inherited,1075849843::Font Inherited,1075849998::Font Size,1075849999::Font Bold,1075850000::Font Italic,1075850008::Update Attribute Definition to Match,1075850017::Starting Value,1075850018::Increment By,1075850085::Attribute Order  [read only],1075850088::Column Order  [read only],1075850089::Theme,1075850186::Expression,1075850237::Logical Lead Attribute  [read only],1075850245::Physical Lead Attribute  [read only],1075850297::Font Charset,1075850521::Check Constraint Inheritance Prohibited,1075850522::Default Constraint Inheritance Prohibited,1075850564::Collation,1075850637::Populate All Rows With Default Value,1075850700::Persisted,1075850734::XML Document Type,1075850736::XML Schema Collection,1075850744::Sparse,1075851000::Is Filestream,1075851001::Is Sparse Column Set,1075851147::Font,1075851148::Font Name,1075851149::Font Strikethrough,1075851150::Font Underscore,1075851212::Average Width,1075851250::Is Encrypted,1075851720::Image,1075852305::Column Mask Function,1075852321::Column Encryption Key,1075852322::Encryption Type,1075852340::Hidden,1075852464::Password,1075852560::PII,1075853568::Column Class,1075853916::Attribute Data Vault Complaincy
"1075838981::894","FirstName",Column,"First name of the person.","FirstName","First name of the person.","FirstName","Person,FirstName,FirstName,FirstName,FirstName,FirstName,FirstName,FirstName,FirstName,FirstName","FirstName","","Non Primary Key","","nvarchar(50)","","Not Null","","","","","","","5","","","","","NVARCHAR(50)","Name","","0","","","","10","false","false","","","","5","5","","","","","Western","","","SQL_Latin1_General_CP1_CI_AS","","","","","","","","Microsoft Sans Serif 10 Western","Microsoft Sans Serif","false","false","11","","Default String Icon","","","","false","","","",""
"1075838981::895","MiddleName",Column,"Middle name or middle initial of the person.","MiddleName","Middle name or middle initial of the person.","MiddleName","Person,MiddleName,MiddleName,MiddleName,MiddleName,MiddleName,MiddleName,MiddleName,MiddleName,MiddleName","MiddleName","","Non Primary Key","","nvarchar(50)","43","Null","","","","","","","6","","","","","NVARCHAR(50)","Name","","0","","","","10","false","false","","","","6","6","","","","","Western","","","SQL_Latin1_General_CP1_CI_AS","","","","","","","","Microsoft Sans Serif 10 Western","Microsoft Sans Serif","false","false","2","","Default String Icon","","","","false","","","",""
"1075838981::896","LastName",Column,"Last name of the person.","LastName","Last name of the person.","LastName","Person,LastName,LastName,LastName,LastName,LastName,LastName,LastName,LastName,LastName","LastName","","Non Primary Key","","nvarchar(50)","","Not Null","","","","","","","7","","","","","NVARCHAR(50)","Name","","0","","","","10","false","false","","","","7","7","","","","","Western","","","SQL_Latin1_General_CP1_CI_AS","","","","","","","","Microsoft Sans Serif 10 Western","Microsoft Sans Serif","false","false","11","","Default String Icon","","","","false","","","",""
"1075838981::897","Suffix",Column,"Surname suffix. For example, Sr. or Jr.","Suffix","Surname suffix. For example, Sr. or Jr.","Suffix","Person,Suffix,Suffix,Suffix,Suffix,Suffix,Suffix,Suffix","Suffix","","Non Primary Key","","nvarchar(10)","100","Null","","","","","","","8","","","","","NVARCHAR(10)","String","","8470830","","","","10","false","false","","","","8","8","","","","","Western","","","SQL_Latin1_General_CP1_CI_AS","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","5","","Default String Icon","","","","false","","","",""
"1075838981::898","EmailPromotion",Column,"0 = Contact does not wish to receive e-mail promotions, 1 = Contact does wish to receive e-mail promotions from AdventureWorks, 2 = Contact does wish to receive e-mail promotions from AdventureWorks and selected partners. ","EmailPromotion","0 = Contact does not wish to receive e-mail promotions, 1 = Contact does wish to receive e-mail promotions from AdventureWorks, 2 = Contact does wish to receive e-mail promotions from AdventureWorks and selected partners. ","EmailPromotion","Person,EmailPromotion,EmailPromotion,EmailPromotion,EmailPromotion,EmailPromotion","EmailPromotion","","Non Primary Key","","int","","Not Null","","","","","","","9","","","","","INTEGER","Number","","8470830","","","","10","false","false","","","","9","9","","","","","Western","true","true","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::899","AdditionalContactInfo",Column,"Additional contact information about the person stored in xml format. ","AdditionalContactInfo","Additional contact information about the person stored in xml format. ","AdditionalContactInfo","Person,PXML_Person_AddContact,AdditionalContactInfo","AdditionalContactInfo","","Non Primary Key","","xml","100","Null","","","","","","","10","","","","","LONG TEXT","String","","8470830","","","","10","false","false","","","","10","10","","","","","Western","","","","","","Content","AdditionalContactInfoSchemaCollection","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default String Icon","","","","false","","","",""
"1075838981::900","Demographics",Column,"Personal information such as hobbies, and income collected from online shoppers. Used for sales analysis.","Demographics","Personal information such as hobbies, and income collected from online shoppers. Used for sales analysis.","Demographics","Person,PXML_Person_Demographics,XMLPATH_Person_Demographics,XMLPROPERTY_Person_Demographics,XMLVALUE_Person_Demographics,Demographics","Demographics","","Non Primary Key","","xml","0","Null","","","","","","","11","","","","","LONG TEXT","String","","8470830","","","","10","false","false","","","","11","11","","","","","Western","","","","","","Content","IndividualSurveySchemaCollection","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default String Icon","","","","false","","","",""
"1075838981::901","rowguid",Column,"ROWGUIDCOL number uniquely identifying the record. Used to support a merge replication sample.","rowguid","ROWGUIDCOL number uniquely identifying the record. Used to support a merge replication sample.","rowguid","Person,rowguid,rowguid","rowguid","","Non Primary Key","","uniqueidentifier","","Not Null","","","","","","Yes","12","","","","","UNIQUEID","Number","","0","","","","10","false","false","","","","12","12","","","","","Western","","true","","","","","","","","","Microsoft Sans Serif 10 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::902","ModifiedDate",Column,"Date and time the record was last updated.","ModifiedDate","Date and time the record was last updated.","ModifiedDate","Person,ModifiedDate","ModifiedDate","","Non Primary Key","","datetime","","Not Null","","","","","","","13","","","","","TIMESTAMP","Datetime","","8470830","","","","10","false","false","","","","13","13","","","","","Western","","true","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Datetime Icon","","","","false","","","",""
"1075838981::932","BusinessEntityID",Column,"Business entity identification number. Foreign key to Person.BusinessEntityID.","BusinessEntityID","Business entity identification number. Foreign key to Person.BusinessEntityID.","BusinessEntityID","PersonPhone,BusinessEntityID,BusinessEntityID","BusinessEntityID","","Primary Key","","int","","Not Null","","","","","","","1","BusinessEntityID","FK_PersonPhone_Person_BusinessEntityID (Person to PersonPhone)","","","INTEGER","Number","","12470272","","","","10","false","false","","","","1","1","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:0 Green: 72 Blue: 190 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::933","PhoneNumber",Column,"Telephone number identification number.","PhoneNumber","Telephone number identification number.","PhoneNumber","PersonPhone,PhoneNumber,PhoneNumber,PhoneNumber,PhoneNumber,PhoneNumber,PhoneNumber,PhoneNumber","PhoneNumber","","Primary Key","","nvarchar(25)","","Not Null","","","","","","","2","","","","","NVARCHAR(25)","Phone","","0","","","","10","false","false","","","","2","2","","","","","Western","","","SQL_Latin1_General_CP1_CI_AS","","","","","","","","Microsoft Sans Serif 10 Western","Microsoft Sans Serif","false","false","30","","Default String Icon","","","","false","","","",""
"1075838981::934","PhoneNumberTypeID",Column,"Kind of phone number. Foreign key to PhoneNumberType.PhoneNumberTypeID.","PhoneNumberTypeID","Kind of phone number. Foreign key to PhoneNumberType.PhoneNumberTypeID.","PhoneNumberTypeID","PersonPhone,PhoneNumberTypeID,PhoneNumberTypeID","PhoneNumberTypeID","","Primary Key","","int","","Not Null","","","","","","","3","PhoneNumberTypeID","FK_PersonPhone_PhoneNumberType_PhoneNumberTypeID (PhoneNumberType to PersonPhone)","","","INTEGER","Number","","12470272","","","","10","false","false","","","","3","3","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:0 Green: 72 Blue: 190 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::935","ModifiedDate",Column,"Date and time the record was last updated.","ModifiedDate","Date and time the record was last updated.","ModifiedDate","PersonPhone","ModifiedDate","","Non Primary Key","","datetime","","Not Null","","","","","","","4","","","","","TIMESTAMP","Datetime","","8470830","","","","10","false","false","","","","4","4","","","","","Western","","true","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Datetime Icon","","","","false","","","",""
"1075838981::946","PhoneNumberTypeID",Column,"Primary key for telephone number type records.","PhoneNumberTypeID","Primary key for telephone number type records.","PhoneNumberTypeID","PhoneNumberType,PhoneNumberTypeID,PhoneNumberTypeID","PhoneNumberTypeID","","Primary Key","","int","","Not Null","","","","","","","1","","","","","INTEGER","Number","false","8470830","true","","","10","false","false","","1","1","1","1","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::947","Name",Column,"Name of the telephone number type","Name","Name of the telephone number type","Name","PhoneNumberType,PhoneNumberType,PhoneNumberType,PhoneNumberType,PhoneNumberType,PhoneNumberType","Name","","Non Primary Key","","nvarchar(50)","","Not Null","","","","","","","2","","","","","NVARCHAR(50)","Name","","8470830","","","","10","false","false","","","","2","2","","","","","Western","","","SQL_Latin1_General_CP1_CI_AS","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","8","","Default String Icon","","","","false","","","",""
"1075838981::948","ModifiedDate",Column,"Date and time the record was last updated.","ModifiedDate","Date and time the record was last updated.","ModifiedDate","PhoneNumberType","ModifiedDate","","Non Primary Key","","datetime","","Not Null","","","","","","","3","","","","","TIMESTAMP","Datetime","","8470830","","","","10","false","false","","","","3","3","","","","","Western","","true","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Datetime Icon","","","","false","","","",""
"1075838981::954","StateProvinceID",Column,"Primary key for StateProvince records.","StateProvinceID","Primary key for StateProvince records.","StateProvinceID","StateProvince,StateProvinceID,StateProvinceID,StateProvinceID,StateProvinceID","StateProvinceID","","Primary Key","","int","","Not Null","","","","","","","1","","","","","INTEGER","Number","false","8470830","true","","","10","false","false","","1","1","1","1","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::955","StateProvinceCode",Column,"ISO standard state or province code.","StateProvinceCode","ISO standard state or province code.","StateProvinceCode","StateProvince,StateProvinceCode,StateProvinceCode","StateProvinceCode","","Non Primary Key","","nchar(3)","","Not Null","","","","","","","2","","","","","NCHAR(3)","String","","0","","","","10","false","false","","","","2","2","","","","","Western","","","SQL_Latin1_General_CP1_CI_AS","","","","","","","","Microsoft Sans Serif 10 Western","Microsoft Sans Serif","false","false","","","Default String Icon","","","","false","","","",""
"1075838981::956","CountryRegionCode",Column,"ISO standard country or region code. Foreign key to CountryRegion.CountryRegionCode. ","CountryRegionCode","ISO standard country or region code. Foreign key to CountryRegion.CountryRegionCode. ","CountryRegionCode","StateProvince,CountryRegionCode,CountryRegionCode","CountryRegionCode","","Non Primary Key","","nvarchar(3)","","Not Null","","","","","","","3","CountryRegionCode","FK_StateProvince_CountryRegion_CountryRegionCode (CountryRegion to StateProvince)","","","NVARCHAR(3)","String","","12470272","","","","10","false","false","","","","3","3","","","","","Western","","","SQL_Latin1_General_CP1_CI_AS","","","","","","","","Microsoft Sans Serif 10 Red:0 Green: 72 Blue: 190 Western","Microsoft Sans Serif","false","false","4","","Default String Icon","","","","false","","","",""
"1075838981::957","IsOnlyStateProvinceFlag",Column,"0 = StateProvinceCode exists. 1 = StateProvinceCode unavailable, using CountryRegionCode.","IsOnlyStateProvinceFlag","0 = StateProvinceCode exists. 1 = StateProvinceCode unavailable, using CountryRegionCode.","IsOnlyStateProvinceFlag","StateProvince,IsOnlyStateProvinceFlag","IsOnlyStateProvinceFlag","","Non Primary Key","","bit","","Not Null","","","","","","","4","","","","","SMALLINT","Flag","","8470830","","","","10","false","false","","","","4","4","","","","","Western","","true","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::958","Name",Column,"State or province description.","Name","State or province description.","Name","StateProvince,Name,StateProvinceName,StateProvinceName,StateProvinceName,StateProvinceName,StateProvinceName,StateProvinceName","Name","","Non Primary Key","","nvarchar(50)","","Not Null","","","","","","","5","","","","","NVARCHAR(50)","Name","","0","","","","10","false","false","","","","5","5","","","","","Western","","","SQL_Latin1_General_CP1_CI_AS","","","","","","","","Microsoft Sans Serif 10 Western","Microsoft Sans Serif","false","false","18","","Default String Icon","","","","false","","","",""
"1075838981::959","TerritoryID",Column,"ID of the territory in which the state or province is located. Foreign key to SalesTerritory.SalesTerritoryID.","TerritoryID","ID of the territory in which the state or province is located. Foreign key to SalesTerritory.SalesTerritoryID.","TerritoryID","StateProvince,TerritoryID,TerritoryID","TerritoryID","","Non Primary Key","","int","","Not Null","","","","","","","6","TerritoryID","FK_StateProvince_SalesTerritory_TerritoryID (SalesTerritory to StateProvince)","","","INTEGER","Number","","12470272","","","","10","false","false","","","","6","6","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:0 Green: 72 Blue: 190 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::960","rowguid",Column,"ROWGUIDCOL number uniquely identifying the record. Used to support a merge replication sample.","rowguid","ROWGUIDCOL number uniquely identifying the record. Used to support a merge replication sample.","rowguid","StateProvince,rowguid","rowguid","","Non Primary Key","","uniqueidentifier","","Not Null","","","","","","Yes","7","","","","","UNIQUEID","Number","","0","","","","10","false","false","","","","7","7","","","","","Western","","true","","","","","","","","","Microsoft Sans Serif 10 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::961","ModifiedDate",Column,"Date and time the record was last updated.","ModifiedDate","Date and time the record was last updated.","ModifiedDate","StateProvince","ModifiedDate","","Non Primary Key","","datetime","","Not Null","","","","","","","8","","","","","TIMESTAMP","Datetime","","8470830","","","","10","false","false","","","","8","8","","","","","Western","","true","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Datetime Icon","","","","false","","","",""
"1075838981::981","BillOfMaterialsID",Column,"Primary key for BillOfMaterials records.","BillOfMaterialsID","Primary key for BillOfMaterials records.","BillOfMaterialsID","BillOfMaterials,BillOfMaterialsID","BillOfMaterialsID","","Primary Key","","int","","Not Null","","","","","","","1","","","","","INTEGER","Number","false","8470830","true","","","10","false","false","","1","1","1","1","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::982","ProductAssemblyID",Column,"Parent product identification number. Foreign key to Product.ProductID.","ProductAssemblyID","Parent product identification number. Foreign key to Product.ProductID.","ProductAssemblyID","BillOfMaterials,ProductAssemblyID,ProductAssemblyID","ProductAssemblyID","","Non Primary Key","","int","4","Null","","","","","","","2","ProductID","FK_BillOfMaterials_Product_ProductAssemblyID (Product to BillOfMaterials)","","","INTEGER","Number","","12470272","","","","10","false","false","","","","2","2","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:0 Green: 72 Blue: 190 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::983","ComponentID",Column,"Component identification number. Foreign key to Product.ProductID.","ComponentID","Component identification number. Foreign key to Product.ProductID.","ComponentID","BillOfMaterials,ComponentID,ComponentID","ComponentID","","Non Primary Key","","int","","Not Null","","","","","","","3","ProductID","FK_BillOfMaterials_Product_ComponentID (Product to BillOfMaterials)","","","INTEGER","Number","","12470272","","","","10","false","false","","","","3","3","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:0 Green: 72 Blue: 190 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::984","StartDate",Column,"Date the component started being used in the assembly item.","StartDate","Date the component started being used in the assembly item.","StartDate","BillOfMaterials,StartDate","StartDate","","Non Primary Key","","datetime","","Not Null","","","","","","","4","","","","","TIMESTAMP","Datetime","","0","","","","10","false","false","","","","4","4","","","","","Western","","true","","","","","","","","","Microsoft Sans Serif 10 Western","Microsoft Sans Serif","false","false","","","Default Datetime Icon","","","","false","","","",""
"1075838981::985","EndDate",Column,"Date the component stopped being used in the assembly item.","EndDate","Date the component stopped being used in the assembly item.","EndDate","BillOfMaterials","EndDate","","Non Primary Key","","datetime","93","Null","","","","","","","5","","","","","TIMESTAMP","Datetime","","8470830","","","","10","false","false","","","","5","5","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Datetime Icon","","","","false","","","",""
"1075838981::986","UnitMeasureCode",Column,"Standard code identifying the unit of measure for the quantity.","UnitMeasureCode","Standard code identifying the unit of measure for the quantity.","UnitMeasureCode","BillOfMaterials,UnitMeasureCode","UnitMeasureCode","","Non Primary Key","","nchar(3)","","Not Null","","","","","","","6","UnitMeasureCode","FK_BillOfMaterials_UnitMeasure_UnitMeasureCode (UnitMeasure to BillOfMaterials)","","","NCHAR(3)","String","","12470272","","","","10","false","false","","","","6","6","","","","","Western","","","SQL_Latin1_General_CP1_CI_AS","","","","","","","","Microsoft Sans Serif 10 Red:0 Green: 72 Blue: 190 Western","Microsoft Sans Serif","false","false","","","Default String Icon","","","","false","","","",""
"1075838981::987","BOMLevel",Column,"Indicates the depth the component is from its parent (AssemblyID).","BOMLevel","Indicates the depth the component is from its parent (AssemblyID).","BOMLevel","BillOfMaterials","BOMLevel","","Non Primary Key","","smallint","","Not Null","","","","","","","7","","","","","SMALLINT","Number","","8470830","","","","10","false","false","","","","7","7","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::988","PerAssemblyQty",Column,"Quantity of the component needed to create the assembly.","PerAssemblyQty","Quantity of the component needed to create the assembly.","PerAssemblyQty","BillOfMaterials","PerAssemblyQty","","Non Primary Key","","decimal(8,2)","","Not Null","","","","","","","8","","","","","DECIMAL(8,2)","Number","","8470830","","","","10","false","false","","","","8","8","","","","","Western","true","true","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","5","","Default Number Icon","","","","false","","","",""
"1075838981::989","ModifiedDate",Column,"Date and time the record was last updated.","ModifiedDate","Date and time the record was last updated.","ModifiedDate","BillOfMaterials","ModifiedDate","","Non Primary Key","","datetime","","Not Null","","","","","","","9","","","","","TIMESTAMP","Datetime","","8470830","","","","10","false","false","","","","9","9","","","","","Western","","true","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Datetime Icon","","","","false","","","",""
"1075838981::1015","CultureID",Column,"Primary key for Culture records.","CultureID","Primary key for Culture records.","CultureID","Culture,CultureID,CultureID","CultureID","","Primary Key","","nchar(6)","","Not Null","","","","","","","1","","","","","NCHAR(6)","String","","8470830","","","","10","false","false","","","","1","1","","","","","Western","","","SQL_Latin1_General_CP1_CI_AS","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default String Icon","","","","false","","","",""
"1075838981::1016","Name",Column,"Culture description.","Name","Culture description.","Name","Culture,Name","Name","","Non Primary Key","","nvarchar(50)","","Not Null","","","","","","","2","","","","","NVARCHAR(50)","Name","","0","","","","10","false","false","","","","2","2","","","","","Western","","","SQL_Latin1_General_CP1_CI_AS","","","","","","","","Microsoft Sans Serif 10 Western","Microsoft Sans Serif","false","false","20","","Default String Icon","","","","false","","","",""
"1075838981::1017","ModifiedDate",Column,"Date and time the record was last updated.","ModifiedDate","Date and time the record was last updated.","ModifiedDate","Culture","ModifiedDate","","Non Primary Key","","datetime","","Not Null","","","","","","","3","","","","","TIMESTAMP","Datetime","","8470830","","","","10","false","false","","","","3","3","","","","","Western","","true","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Datetime Icon","","","","false","","","",""
"1075838981::1026","DocumentNode",Column,"Primary key for Document records.","DocumentNode","Primary key for Document records.","DocumentNode","Document,DocumentNode,DocumentNode,DocumentNode","DocumentNode","","Primary Key","","hierarchyid","","Not Null","","","","","","","1","","","","","LONG TEXT","_default_","","0","","","","10","false","false","","","","1","1","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Western","Microsoft Sans Serif","false","false","","","Default <unknown> Icon","","","","false","","","",""
"1075838981::1027","DocumentLevel",Column,"Depth in the document hierarchy.","DocumentLevel","Depth in the document hierarchy.","DocumentLevel","Document,DocumentLevel","DocumentLevel","","Non Primary Key","","CHAR(18)","0","Null","","","","","","","2","","","","","CHAR(18)","String","","0","","","","10","false","false","","","","2","2","","([DocumentNode].[GetLevel]())","","","Western","","","","","false","","","","","","Microsoft Sans Serif 10 Western","Microsoft Sans Serif","false","false","2","","Default String Icon","","","","false","","","",""
"1075838981::1028","Title",Column,"Title of the document.","Title","Title of the document.","Title","Document","Title","","Non Primary Key","","nvarchar(50)","","Not Null","","","","","","","3","","","","","NVARCHAR(50)","String","","8470830","","","","10","false","false","","","","3","3","","","","","Western","","","SQL_Latin1_General_CP1_CI_AS","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","42","","Default String Icon","","","","false","","","",""
"1075838981::1029","Owner",Column,"Employee who controls the document.  Foreign key to Employee.BusinessEntityID","Owner","Employee who controls the document.  Foreign key to Employee.BusinessEntityID","Owner","Document,Owner","Owner","","Non Primary Key","","int","","Not Null","","","","","","","4","BusinessEntityID","FK_Document_Employee_Owner (Employee to Document)","","","INTEGER","Number","","12470272","","","","10","false","false","","","","4","4","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:0 Green: 72 Blue: 190 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::1030","FolderFlag",Column,"0 = This is a folder, 1 = This is a document.","FolderFlag","0 = This is a folder, 1 = This is a document.","FolderFlag","Document","FolderFlag","","Non Primary Key","","bit","","Not Null","","","","","","","5","","","","","SMALLINT","Number","","8470830","","","","10","false","false","","","","5","5","","","","","Western","","true","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::1031","FileName",Column,"File name of the document","FileName","File name of the document","FileName","Document,FileName","FileName","","Non Primary Key","","nvarchar(400)","","Not Null","","","","","","","6","","","","","NVARCHAR(400)","String","","0","","","","10","false","false","","","","6","6","","","","","Western","","","SQL_Latin1_General_CP1_CI_AS","","","","","","","","Microsoft Sans Serif 10 Western","Microsoft Sans Serif","false","false","47","","Default String Icon","","","","false","","","",""
"1075838981::1032","FileExtension",Column,"File extension indicating the document type. For example, .doc or .txt.","FileExtension","File extension indicating the document type. For example, .doc or .txt.","FileExtension","Document,Document","FileExtension","","Non Primary Key","","nvarchar(8)","","Not Null","","","","","","","7","","","","","NVARCHAR(8)","String","","8470830","","","","10","false","false","","","","7","7","","","","","Western","","","SQL_Latin1_General_CP1_CI_AS","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","5","","Default String Icon","","","","false","","","",""
"1075838981::1033","Revision",Column,"Revision number of the document. ","Revision","Revision number of the document. ","Revision","Document,Revision","Revision","","Non Primary Key","","nchar(5)","","Not Null","","","","","","","8","","","","","NCHAR(5)","String","","0","","","","10","false","false","","","","8","8","","","","","Western","","","SQL_Latin1_General_CP1_CI_AS","","","","","","","","Microsoft Sans Serif 10 Western","Microsoft Sans Serif","false","false","","","Default String Icon","","","","false","","","",""
"1075838981::1034","ChangeNumber",Column,"Engineering change approval number.","ChangeNumber","Engineering change approval number.","ChangeNumber","Document","ChangeNumber","","Non Primary Key","","int","","Not Null","","","","","","","9","","","","","INTEGER","Number","","8470830","","","","10","false","false","","","","9","9","","","","","Western","","true","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::1035","Status",Column,"1 = Pending approval, 2 = Approved, 3 = Obsolete","Status","1 = Pending approval, 2 = Approved, 3 = Obsolete","Status","Document","Status","","Non Primary Key","","tinyint","","Not Null","","","","","","","10","","","","","BYTE","Number","","8470830","","","","10","false","false","","","","10","10","","","","","Western","true","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::1036","DocumentSummary",Column,"Document abstract.","DocumentSummary","Document abstract.","DocumentSummary","Document,DocumentSummary","DocumentSummary","","Non Primary Key","","nvarchar(max)","62","Null","","","","","","","11","","","","","NVARCHAR","String","","8470830","","","","10","false","false","","","","11","11","","","","","Western","","","SQL_Latin1_General_CP1_CI_AS","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","576","","Default String Icon","","","","false","","","",""
"1075838981::1037","Document",Column,"Complete document.","Document","Complete document.","Document","Document,Document","Document","","Non Primary Key","","varbinary(max)","31","Null","","","","","","","12","","","","","LARGE BINARY","Blob","","8470830","","","","10","false","false","","","","12","12","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","31971","","Default Blob Icon","","","","false","","","",""
"1075838981::1038","rowguid",Column,"ROWGUIDCOL number uniquely identifying the record. Required for FileStream.","rowguid","ROWGUIDCOL number uniquely identifying the record. Required for FileStream.","rowguid","Document,rowguid,rowguid","rowguid","","Non Primary Key","","uniqueidentifier","","Not Null","","","","","","Yes","13","","","","","UNIQUEID","Number","","0","","","","10","false","false","","","","13","13","","","","","Western","","true","","","","","","","","","Microsoft Sans Serif 10 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
